RECORD INDEX,NEIGHBORHOOD,BLDGCAT,BLDGDESCRIPTION,TAXCLP,BLOCK,LOT,BLDGCP,ADDRESS,ZIP_CODE,RESIDENTIAL_ UNITS,COMMERCIAL_UNITS,UNITS,LANDSFT,GROSSSF,BUILT,TAXCLSALE,BLDGCTOS,SALE_PRICE,SALE_DATE
1,ALPHABET CITY,2,TWO FAMILY DWELLINGS,1,372,36,S2,19 AVENUE D,10009,2,1,3,826,"2,481",1900,1,S2,$1.00,1/20/2023
2,ALPHABET CITY,7,RENTALS - WALKUP APARTMENTS,2,390,50,C1,"209 EAST 7TH STREET, 3E",10009,29,0,29,"3,900","18,099",1900,2,C1,"$154,196.00",9/15/2023
3,ALPHABET CITY,7,RENTALS - WALKUP APARTMENTS,2,390,50,C1,"209 EAST 7TH STREET, 4E",10009,29,0,29,"3,900","18,099",1900,2,C1,"$154,196.00",9/15/2023
4,ALPHABET CITY,7,RENTALS - WALKUP APARTMENTS,2A,390,60,C2,191 EAST 7TH STREET,10009,5,0,5,"1,080","3,328",1910,2,C2,"$2,725,000.00",8/10/2023
5,ALPHABET CITY,7,RENTALS - WALKUP APARTMENTS,2B,396,4,C4,221 AVENUE B,10009,8,1,9,"1,936","5,538",1904,2,C4,$10.00,3/31/2023
6,ALPHABET CITY,7,RENTALS - WALKUP APARTMENTS,2,397,38,C7,6 AVENUE B,10009,10,1,11,"1,819","7,995",1900,2,C7,"$1,050,000.00",1/27/2023
7,ALPHABET CITY,7,RENTALS - WALKUP APARTMENTS,2,397,38,C7,6 AVENUE B,10009,10,1,11,"1,819","7,995",1900,2,C7,"$7,800,000.00",9/29/2023
8,ALPHABET CITY,7,RENTALS - WALKUP APARTMENTS,2B,399,49,C4,177 EAST 3RD STREET,10009,10,0,10,"2,380","6,636",1900,2,C4,"$10,800,000.00",6/20/2023
9,ALPHABET CITY,7,RENTALS - WALKUP APARTMENTS,2B,399,50,C4,175 EAST 3RD STREET,10009,8,2,10,"2,380","6,825",1900,2,C4,"$10,800,000.00",6/20/2023
10,ALPHABET CITY,7,RENTALS - WALKUP APARTMENTS,2,400,60,C4,195 EAST 4TH STREET,10009,18,0,18,"2,404","8,975",1913,2,C4,"$5,750,000.00",3/22/2023
11,ALPHABET CITY,7,RENTALS - WALKUP APARTMENTS,2B,402,44,C4,543 EAST 6 STREET,10009,8,1,9,"1,820","7,083",1930,2,C4,"$3,250,000.00",7/14/2023
12,ALPHABET CITY,7,RENTALS - WALKUP APARTMENTS,2,406,56,C7,517 EAST 12TH STREET,10009,16,2,18,"2,581","7,230",1900,2,C7,$0.00,1/18/2023
13,ALPHABET CITY,8,RENTALS - ELEVATOR APARTMENTS,2,387,124,D1,630 EAST 6TH STREET,10009,40,0,40,"6,025","11,418",1900,2,D1,$0.00,3/31/2023
14,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,373,46,C6,"317 EAST 3 STREET, 2",10009,,,,,,1925,2,C6,"$555,000.00",12/20/2022
15,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,373,46,C6,"317 EAST 3RD STREET, 8",10009,,,,,,1925,2,C6,$0.00,2/3/2023
16,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,373,46,C6,"317 EAST 3RD STREET, 9",10009,,,,,,1925,2,C6,"$705,500.00",6/30/2023
17,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,373,49,C6,"311 EAST 3RD STREET, 1",10009,,,,,,1920,2,C6,"$468,000.00",9/28/2023
18,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,376,18,C6,"252 EAST 7TH STREET, 3-4",10009,,,,,,1928,2,C6,"$76,050.00",8/9/2023
19,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,376,31,C6,"278 EAST 7TH STREET, 5C",10009,,,,,,1920,2,C6,"$149,750.00",10/17/2023
20,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,377,16,C6,"368 EAST 8TH, 5D",10009,,,,,,1923,2,C6,"$135,000.00",12/21/2022
21,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2C,377,55,C6,"265 EAST 7TH STREET, 3",10009,,,,,,1900,2,C6,"$1,100,000.00",7/6/2023
22,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,377,59,C6,"257 EAST 7TH STREET, 13",10009,,,,,,1900,2,C6,"$999,500.00",7/19/2023
23,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,377,59,C6,"257 EAST 7TH, 7",10009,,,,,,1900,2,C6,"$870,000.00",9/15/2023
24,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,377,62,C6,"249 EAST 7, 18",10009,,,,,,2001,2,C6,"$685,000.00",10/25/2023
25,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,379,15,C6,"414 EAST 10TH STREET, 4CD",10009,,,,,,1930,2,C6,"$610,000.00",4/19/2023
26,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,379,48,C6,"733 EAST 9TH STREET, 4B",10009,,,,,,1900,2,C6,"$129,137.00",5/12/2023
27,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,379,48,C6,"733 EAST 9TH STREET, 5A",10009,,,,,,1900,2,C6,"$129,137.00",2/28/2023
28,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,386,20,C6,"268 EAST 4TH STREET, 1A",10009,,,,,,1923,2,C6,"$420,000.00",4/17/2023
29,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,386,20,C6,"268 EAST 4TH STREET, 3C",10009,,,,,,1923,2,C6,"$479,000.00",3/9/2023
30,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,387,15,C6,"610 EAST 5TH STREET, 3",10009,,,,,,1900,2,C6,"$345,000.00",5/3/2023
31,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,389,20,C6,"204 EAST 7TH STREET, 12",10009,,,,,,1900,2,C6,"$420,000.00",2/15/2023
32,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,389,20,C6,"204 EAST 7TH, 7/8",10009,,,,,,1900,2,C6,"$700,000.00",4/14/2023
33,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2C,389,26,C6,"216 EAST 7TH STREET, 8",10009,,,,,,1925,2,C6,"$770,000.00",11/19/2022
34,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,389,30,C6,"224 EAST 7TH STREET, 16",10009,,,,,,1950,2,C6,$0.00,12/12/2022
35,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2C,389,48,C6,"625 EAST 6TH STREET, 2",10009,,,,,,1910,2,C6,"$800,000.00",12/7/2022
36,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,391,3,C6,"131 AVENUE B, 2B",10009,,,,,,1940,2,C6,$0.00,11/10/2022
37,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,391,21,C6,"628 EAST 9TH STREET, 1B",10009,,,,,,1910,2,C6,"$215,000.00",7/7/2023
38,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,396,20,C6,"628 EAST 14TH STREET, 3",10009,,,,,,1920,2,C6,"$420,000.00",3/15/2023
39,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,396,20,C6,"630 EAST 14TH STREET, 11",10009,,,,,,1920,2,C6,"$430,000.00",12/20/2022
40,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,396,20,C6,"634 EAST 14TH STREET, 10",10009,,,,,,1920,2,C6,"$442,636.00",12/8/2022
41,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,396,20,C6,"636 EAST 14TH STREET, 16",10009,,,,,,1920,2,C6,"$469,617.00",12/8/2022
42,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,396,20,C6,"636 EAST 14TH STREET, 18",10009,,,,,,1920,2,C6,"$480,000.00",2/27/2023
43,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,400,45,C6,"225 EAST 4TH STREET, 24",10009,,,,,,1937,2,C6,"$1,695,000.00",6/29/2023
44,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,400,47,C6,"223-225 EAST 4TH STREET, 7",10009,,,,,,1937,2,C6,"$1,417,500.00",4/20/2023
