,RECORD INDEX,NEIGHBORHOOD,BLDGCAT,BLDGDESCRIPTION,TAXCLP,BLOCK,LOT,BLDGCP,ADDRESS,ZIP_CODE,RESIDENTIAL_ UNITS,COMMERCIAL_UNITS,UNITS,LANDSFT,GROSSSF,BUILT,TAXCLSALE,BLDGCTOS,SALE_PRICE,SALE_DATE,LAT,LONG
0,1.0,ALPHABET CITY,2.0,TWO FAMILY DWELLINGS,1,372.0,36.0,S2,19 AVENUE D,10009,2.0,1.0,3.0,826,"2,481",1900.0,1.0,S2,$1.00,1/20/2023,40.72585274,-73.98080476
1,2.0,ALPHABET CITY,7.0,RENTALS - WALKUP APARTMENTS,2,390.0,50.0,C1,"209 EAST 7TH STREET, 3E",10009,29.0,0.0,29.0,"3,900","18,099",1900.0,2.0,C1,"$154,196.00",9/15/2023,40.72585274,-73.98080476
2,3.0,ALPHABET CITY,7.0,RENTALS - WALKUP APARTMENTS,2,390.0,50.0,C1,"209 EAST 7TH STREET, 4E",10009,29.0,0.0,29.0,"3,900","18,099",1900.0,2.0,C1,"$154,196.00",9/15/2023,40.72585274,-73.98080476
3,4.0,ALPHABET CITY,7.0,RENTALS - WALKUP APARTMENTS,2A,390.0,60.0,C2,191 EAST 7TH STREET,10009,5.0,0.0,5.0,"1,080","3,328",1910.0,2.0,C2,"$2,725,000.00",8/10/2023,40.72585274,-73.98080476
4,5.0,ALPHABET CITY,7.0,RENTALS - WALKUP APARTMENTS,2B,396.0,4.0,C4,221 AVENUE B,10009,8.0,1.0,9.0,"1,936","5,538",1904.0,2.0,C4,$10.00,3/31/2023,40.72585274,-73.98080476
5,6.0,ALPHABET CITY,7.0,RENTALS - WALKUP APARTMENTS,2,397.0,38.0,C7,6 AVENUE B,10009,10.0,1.0,11.0,"1,819","7,995",1900.0,2.0,C7,"$1,050,000.00",1/27/2023,40.72585274,-73.98080476
6,7.0,ALPHABET CITY,7.0,RENTALS - WALKUP APARTMENTS,2,397.0,38.0,C7,6 AVENUE B,10009,10.0,1.0,11.0,"1,819","7,995",1900.0,2.0,C7,"$7,800,000.00",9/29/2023,40.72585274,-73.98080476
7,8.0,ALPHABET CITY,7.0,RENTALS - WALKUP APARTMENTS,2B,399.0,49.0,C4,177 EAST 3RD STREET,10009,10.0,0.0,10.0,"2,380","6,636",1900.0,2.0,C4,"$10,800,000.00",6/20/2023,40.72585274,-73.98080476
8,9.0,ALPHABET CITY,7.0,RENTALS - WALKUP APARTMENTS,2B,399.0,50.0,C4,175 EAST 3RD STREET,10009,8.0,2.0,10.0,"2,380","6,825",1900.0,2.0,C4,"$10,800,000.00",6/20/2023,40.72585274,-73.98080476
9,10.0,ALPHABET CITY,7.0,RENTALS - WALKUP APARTMENTS,2,400.0,60.0,C4,195 EAST 4TH STREET,10009,18.0,0.0,18.0,"2,404","8,975",1913.0,2.0,C4,"$5,750,000.00",3/22/2023,40.72585274,-73.98080476
