RegionID,SizeRank,RegionName,RegionType,StateName,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023
9,0,California,state,,"1,010,157.03","1,012,997.20","1,017,687.95","1,022,485.24","1,026,952.62","1,031,142.67","1,034,553.47","1,038,088.60","1,042,279.95","1,045,590.06","1,043,962.08","1,038,380.34","1,035,581.63","1,041,122.25","1,055,610.14","1,073,928.35","1,094,858.60","1,114,683.38","1,130,282.10","1,142,174.74","1,152,781.17","1,168,659.26","1,189,447.11","1,212,726.54","1,234,312.28","1,250,168.45","1,261,814.61","1,272,653.51","1,286,354.02","1,303,560.52","1,326,618.51","1,355,602.29","1,389,798.00","1,420,535.73","1,443,090.72","1,452,789.09","1,448,609.11","1,431,554.01","1,408,261.75","1,388,930.11","1,376,351.17","1,365,640.69","1,349,536.48","1,331,812.63","1,318,644.67","1,313,776.90","1,316,454.54","1,325,324.18","1,341,108.82"
54,1,Texas,state,,"357,269.45","357,782.32","358,412.61","359,412.86","360,688.93","362,151.96","363,891.37","365,822.27","367,889.50","369,218.14","369,534.20","369,410.06","370,093.25","372,357.99","376,122.55","380,585.31","385,561.97","390,568.02","395,869.74","401,756.80","408,534.43","416,844.54","426,904.01","437,457.53","446,853.29","453,813.25","458,839.62","463,446.79","468,817.76","475,114.24","483,577.23","493,384.55","504,963.57","517,134.58","528,675.69","538,208.85","542,127.58","541,033.53","536,331.98","532,105.51","528,545.81","524,829.49","521,187.45","518,476.90","517,509.82","517,123.74","517,491.48","518,693.11","520,137.03"
14,2,Florida,state,,"418,248.13","418,802.55","419,552.05","420,841.50","422,743.27","425,119.60","427,888.45","430,657.11","433,054.45","434,461.59","434,500.33","434,015.27","434,211.10","436,385.62","440,560.28","445,824.63","452,093.46","458,567.60","465,309.46","471,949.67","478,845.55","486,741.62","496,555.00","508,196.53","520,237.58","531,155.06","540,801.46","550,154.55","560,052.13","570,434.67","582,927.41","597,294.14","614,511.08","632,461.24","649,463.54","663,773.34","672,499.37","675,640.64","673,851.19","671,682.72","670,050.89","667,964.77","664,787.53","661,775.13","661,015.61","661,671.22","663,656.64","666,775.03","670,282.22"
43,3,New York,state,,"690,210.31","693,015.33","693,910.26","693,100.09","693,893.69","695,226.93","698,205.02","699,981.70","702,220.02","704,241.23","706,425.00","706,609.94","705,328.64","703,587.49","705,217.28","708,721.96","713,766.26","719,420.01","724,901.70","731,687.19","738,637.40","745,631.68","752,956.67","759,782.94","766,417.60","771,348.06","775,552.09","780,782.51","787,187.61","793,007.04","798,304.28","804,091.25","813,789.41","824,321.37","834,872.90","844,663.62","851,087.26","852,964.60","848,995.34","844,798.50","840,894.00","835,562.38","830,563.40","826,754.70","826,619.79","828,228.14","831,973.72","837,724.80","844,885.84"
47,4,Pennsylvania,state,,"335,935.47","336,900.44","337,641.14","338,545.74","339,749.56","341,004.42","342,010.48","343,080.18","344,495.78","346,140.18","347,097.87","347,621.50","348,418.62","350,448.68","353,932.73","358,310.12","363,424.80","368,519.79","373,242.39","377,900.40","382,607.51","387,686.45","392,988.92","398,248.14","402,026.07","403,853.22","403,748.85","404,133.93","405,529.77","408,196.81","412,484.25","418,099.07","425,191.42","432,310.13","438,425.27","443,137.31","444,935.18","444,692.87","442,837.36","442,150.02","442,246.20","442,397.14","441,695.92","441,335.83","442,410.63","444,593.91","447,405.56","450,479.79","454,024.12"
21,5,Illinois,state,,"357,412.36","356,471.43","355,391.39","354,901.90","354,797.42","355,092.67","355,916.39","357,078.08","358,486.48","359,210.53","359,116.05","358,337.91","357,683.78","358,211.50","360,512.48","363,944.89","368,022.57","372,058.66","375,966.64","380,052.80","384,041.37","388,043.04","392,008.71","395,908.20","399,453.25","401,945.19","403,325.61","404,655.16","406,653.50","409,558.30","412,922.49","416,940.00","422,158.12","427,934.90","432,593.14","436,025.46","437,050.99","436,255.78","433,620.47","431,662.33","430,503.82","429,329.67","428,739.96","428,391.45","429,022.68","429,375.42","430,677.89","433,281.28","436,567.53"
44,6,Ohio,state,,"272,835.08","273,670.82","274,235.67","275,015.43","276,117.20","277,291.76","278,632.96","279,996.30","281,650.87","283,083.72","284,032.31","284,637.91","285,470.40","287,415.93","290,680.64","294,833.77","299,402.63","303,838.56","307,865.89","311,771.71","315,527.90","319,622.79","324,041.23","328,543.23","331,927.70","333,507.40","333,734.73","334,332.20","335,984.73","338,386.58","342,238.54","347,315.46","353,573.52","359,908.61","365,477.50","370,231.48","372,553.03","373,015.71","371,988.83","371,393.22","371,248.72","371,095.11","371,301.90","371,832.66","373,447.41","375,182.41","377,375.30","379,453.14","381,272.81"
16,7,Georgia,state,,"357,878.82","358,461.71","359,081.64","360,062.20","361,342.18","363,000.74","364,967.97","367,159.45","369,264.85","370,685.78","371,071.41","371,071.52","371,660.72","373,879.05","377,810.26","382,763.52","388,328.46","393,791.13","399,418.13","405,398.56","411,680.23","418,413.37","425,914.23","433,864.98","441,070.22","446,760.69","451,640.62","457,046.29","463,543.56","470,707.52","479,287.06","488,684.66","498,983.50","509,097.82","518,045.87","525,307.86","528,839.54","529,097.68","526,783.59","524,631.21","522,735.07","520,415.83","518,330.42","516,799.91","517,033.03","517,620.21","519,478.18","522,161.75","525,356.70"
36,8,North Carolina,state,,"355,739.44","356,297.63","356,922.47","358,036.28","359,549.58","361,386.43","363,186.53","365,085.51","367,035.51","368,642.12","369,375.98","369,718.68","370,587.45","373,123.55","377,443.40","382,810.98","388,699.68","394,651.54","400,568.48","406,822.49","413,075.03","419,998.65","427,961.04","436,900.88","445,577.71","452,617.41","458,502.63","464,116.17","470,407.83","476,875.00","484,908.53","494,183.91","505,679.04","517,994.93","529,957.31","539,935.31","545,243.33","546,024.29","543,176.50","540,551.45","538,276.84","535,798.16","533,270.51","531,354.74","531,537.40","532,334.40","534,778.51","538,365.26","542,623.91"
30,9,Michigan,state,,"299,772.62","299,910.94","299,882.68","300,244.12","301,048.21","301,914.79","303,047.67","304,480.98","306,318.29","307,941.53","308,615.62","308,862.30","309,378.21","311,086.66","314,156.34","317,856.27","322,013.07","326,013.77","330,049.80","334,714.95","339,709.33","345,518.07","351,628.07","357,674.36","362,178.19","364,574.03","365,541.95","366,475.38","368,101.71","370,330.86","373,940.55","379,040.39","385,604.57","392,536.90","398,379.95","402,754.70","403,844.04","402,503.68","399,460.68","397,356.16","395,913.24","394,584.94","394,051.71","394,175.00","395,806.96","397,219.51","399,235.77","401,152.93","402,754.27"
